Delta,Time,CPU_FREQUENCY_0,CPU_FREQUENCY_1,CPU_FREQUENCY_10,CPU_FREQUENCY_11,CPU_FREQUENCY_12,CPU_FREQUENCY_13,CPU_FREQUENCY_14,CPU_FREQUENCY_15,CPU_FREQUENCY_16,CPU_FREQUENCY_17,CPU_FREQUENCY_18,CPU_FREQUENCY_19,CPU_FREQUENCY_2,CPU_FREQUENCY_20,CPU_FREQUENCY_21,CPU_FREQUENCY_22,CPU_FREQUENCY_23,CPU_FREQUENCY_24,CPU_FREQUENCY_25,CPU_FREQUENCY_26,CPU_FREQUENCY_27,CPU_FREQUENCY_28,CPU_FREQUENCY_29,CPU_FREQUENCY_3,CPU_FREQUENCY_30,CPU_FREQUENCY_31,CPU_FREQUENCY_4,CPU_FREQUENCY_5,CPU_FREQUENCY_6,CPU_FREQUENCY_7,CPU_FREQUENCY_8,CPU_FREQUENCY_9,CPU_USAGE_0,CPU_USAGE_1,CPU_USAGE_10,CPU_USAGE_11,CPU_USAGE_12,CPU_USAGE_13,CPU_USAGE_14,CPU_USAGE_15,CPU_USAGE_16,CPU_USAGE_17,CPU_USAGE_18,CPU_USAGE_19,CPU_USAGE_2,CPU_USAGE_20,CPU_USAGE_21,CPU_USAGE_22,CPU_USAGE_23,CPU_USAGE_24,CPU_USAGE_25,CPU_USAGE_26,CPU_USAGE_27,CPU_USAGE_28,CPU_USAGE_29,CPU_USAGE_3,CPU_USAGE_30,CPU_USAGE_31,CPU_USAGE_4,CPU_USAGE_5,CPU_USAGE_6,CPU_USAGE_7,CPU_USAGE_8,CPU_USAGE_9,DRAM_ENERGY (J),GPU0_ENERGY (mJ),GPU0_MEMORY_TOTAL,GPU0_MEMORY_USED,GPU0_POWER (mWatts),GPU0_TEMPERATURE,GPU0_USAGE,PACKAGE_ENERGY (J),PP0_ENERGY (J),PP1_ENERGY (J),TOTAL_MEMORY,TOTAL_SWAP,USED_MEMORY,USED_SWAP
0,1733342898991,5500,5500,800,800,5410,4729,5500,2281,4300,4300,4299,800,5500,4300,800,4299,800,4299,4300,800,800,800,4301,800,4300,800,800,1853,800,800,800,800,3.0303030014038086,2.857142925262451,8.823529243469238,0,2.857142925262451,0,2.857142925262451,0,5.882352828979492,2.857142925262451,0,2.857142925262451,0,2.941176414489746,0,5.714285850524902,2.941176414489746,2.857142925262451,0,0,0,5.555555820465088,8.571429252624512,0,2.941176414489746,0,5.882352828979492,2.857142925262451,0,0,23.52941131591797,0,0,2616237528,12282,6288,37779,41,0,148281.875,125181.72534179688,0,67221319680,8589930496,4966797312,0
200,1733342898991,5500,5500,800,800,5410,4729,5500,2281,4300,4300,4299,800,5500,4300,800,4299,800,4299,4300,800,800,800,4301,800,4300,800,800,1853,800,800,800,800,3.0303030014038086,2.857142925262451,8.823529243469238,0,2.857142925262451,0,2.857142925262451,0,5.882352828979492,2.857142925262451,0,2.857142925262451,0,2.941176414489746,0,5.714285850524902,2.941176414489746,2.857142925262451,0,0,0,5.555555820465088,8.571429252624512,0,2.941176414489746,0,5.882352828979492,2.857142925262451,0,0,23.52941131591797,0,0,2616237528,12282,6288,37779,41,0,148282.10662841797,125181.86749267578,0,67221319680,8589930496,4964052992,0
200,1733342899192,5500,5500,800,800,5410,4729,5500,2281,4300,4300,4299,800,5500,4300,800,4299,800,4299,4300,800,800,800,4301,800,4300,800,800,1853,800,800,800,800,9.090909004211426,0,4.761904716491699,0,0,0,0,0,4.545454502105713,0,0,4.34782600402832,12.5,4.545454502105713,0,0,0,0,8.69565200805664,0,0,0,0,0,4.545454502105713,0,4.34782600402832,0,0,0,27.272727966308594,0,0,2616242650,12282,6306,30030,43,19,148285.9970703125,125184.29229736328,0,67221319680,8589930496,4971995136,0
200,1733342899392,5500,5500,800,800,5410,4729,5500,2281,4300,4300,4299,800,5500,4300,800,4299,800,4299,4300,800,800,800,4301,800,4300,800,800,1853,800,800,800,800,0,0,4.761904716491699,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,2616252159,12282,6306,31865,44,100,148293.77728271484,125190.64367675781,0,67221319680,8589930496,4974051328,0
200,1733342899592,5500,5500,800,800,5410,4729,5500,2281,4300,4300,4299,800,5500,4300,800,4299,800,4299,4300,800,800,800,4301,800,4300,800,800,1853,800,800,800,800,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,2616261531,12282,6306,37874,44,99,148301.68798828125,125197.1240234375,0,67221319680,8589930496,4971495424,0
200,1733342899792,5500,5500,800,800,5410,4729,5500,2281,4300,4300,4299,800,5500,4300,800,4299,800,4299,4300,800,800,800,4301,800,4300,800,800,1853,800,800,800,800,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,2616273617,12282,6306,46632,44,96,148309.73516845703,125203.72717285156,0,67221319680,8589930496,4973465600,0
200,1733342899992,5500,5500,800,800,5410,4729,5500,2281,4300,4300,4299,800,5500,4300,800,4299,800,4299,4300,800,800,800,4301,800,4300,800,800,1853,800,800,800,800,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,2616285711,12282,6306,55468,44,96,148317.73681640625,125210.28625488281,0,67221319680,8589930496,4970086400,0
200,1733342900192,5500,5500,800,800,5410,4729,5500,2281,4300,4300,4299,800,5500,4300,800,4299,800,4299,4300,800,800,800,4301,800,4300,800,800,1853,800,800,800,800,0,0,4.761904716491699,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,2616297790,12282,6306,64264,44,96,148325.70477294922,125216.81066894531,0,67221319680,8589930496,4972044288,0
200,1733342900392,5500,5500,800,800,5410,4729,5500,2281,4300,4300,4299,800,5500,4300,800,4299,800,4299,4300,800,800,800,4301,800,4300,800,800,1853,800,800,800,800,0,0,5,0,0,0,4.761904716491699,0,0,0,0,0,0,0,0,0,0,4.761904716491699,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,2616309922,12282,6306,69143,44,96,148333.67413330078,125223.3441772461,0,67221319680,8589930496,4972273664,0
200,1733342900592,5500,5500,800,800,5410,4729,5500,2281,4300,4300,4299,800,5500,4300,800,4299,800,4299,4300,800,800,800,4301,800,4300,800,800,1853,800,800,800,800,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,2616322086,12282,6306,72063,44,96,148341.78356933594,125230.0029296875,0,67221319680,8589930496,4975587328,0
200,1733342900792,5500,5500,800,800,5410,4729,5500,2281,4300,4300,4299,800,5500,4300,800,4299,800,4299,4300,800,800,800,4301,800,4300,800,800,1853,800,800,800,800,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.761904716491699,0,0,0,4.761904716491699,0,0,0,0,0,100,0,0,2616334210,12282,6306,73565,44,96,148349.74530029297,125236.5189819336,0,67221319680,8589930496,4973072384,0
200,1733342900992,5500,5500,800,800,5410,4729,5500,2281,4300,4300,4299,800,5500,4300,800,4299,800,4299,4300,800,800,800,4301,800,4300,800,800,1853,800,800,800,800,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.761904716491699,0,0,0,0,0,0,0,0,0,0,100,0,0,2616346248,12282,6306,73561,44,96,148357.6649169922,125242.99029541016,0,67221319680,8589930496,4971798528,0
200,1733342901193,5500,5500,800,800,5410,4729,5500,2281,4300,4300,4299,800,5500,4300,800,4299,800,4299,4300,800,800,800,4301,800,4300,800,800,1853,800,800,800,800,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.761904716491699,0,0,0,0,0,0,0,0,0,0,100,0,0,2616358317,12282,6306,73675,45,97,148365.6283569336,125249.52014160156,0,67221319680,8589930496,4972208128,0
200,1733342901393,5500,5500,800,800,5410,4729,5500,2281,4300,4300,4299,800,5500,4300,800,4299,800,4299,4300,800,800,800,4301,800,4300,800,800,1853,800,800,800,800,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,2616370343,12282,6306,73653,45,96,148373.75262451172,125256.1869506836,0,67221319680,8589930496,4972060672,0
200,1733342901593,5500,5500,800,800,5410,4729,5500,2281,4300,4300,4299,800,5500,4300,800,4299,800,4299,4300,800,800,800,4301,800,4300,800,800,1853,800,800,800,800,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,2616382336,12282,6306,73674,45,97,148381.71069335938,125262.69207763672,0,67221319680,8589930496,4973580288,0
200,1733342901793,5500,5500,800,800,5410,4729,5500,2281,4300,4300,4299,800,5500,4300,800,4299,800,4299,4300,800,800,800,4301,800,4300,800,800,1853,800,800,800,800,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,2616394280,12282,6306,73630,45,96,148389.73474121094,125269.27014160156,0,67221319680,8589930496,4973727744,0
200,1733342901993,5500,5500,800,800,5410,4729,5500,2281,4300,4300,4299,800,5500,4300,800,4299,800,4299,4300,800,800,800,4301,800,4300,800,800,1853,800,800,800,800,0,0,9.090909004211426,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,2616406299,12282,6306,73685,45,97,148397.73736572266,125275.818359375,0,67221319680,8589930496,4973682688,0
199,1733342902193,5500,5500,800,800,5410,4729,5500,2281,4300,4300,4299,800,5500,4300,800,4299,800,4299,4300,800,800,800,4301,800,4300,800,800,1853,800,800,800,800,0,0,5,0,0,0,0,0,0,0,0,0,4.761904716491699,4.761904716491699,0,0,0,0,0,0,0,0,0,0,0,4.761904716491699,0,0,0,0,15.789472579956055,0,0,2616411449,12282,6306,66458,42,16,148401.3553466797,125278.00256347656,0,67221319680,8589930496,4964540416,0
200,1733342902393,5500,5500,800,800,5410,4729,5500,2281,4300,4300,4299,800,5500,4300,800,4299,800,4299,4300,800,800,800,4301,800,4300,800,800,1853,800,800,800,800,0,0,5,0,0,0,0,0,0,0,0,0,4.761904716491699,4.761904716491699,0,0,0,0,0,0,0,0,0,0,0,4.761904716491699,0,0,0,0,15.789472579956055,0,0,2616416013,12282,6306,57560,41,0,148403.3076171875,125278.53350830078,0,67221319680,8589930496,4963946496,0
200,1733342902593,5500,5500,800,800,5410,4729,5500,2281,4300,4300,4299,800,5500,4300,800,4299,800,4299,4300,800,800,800,4301,800,4300,800,800,1853,800,800,800,800,2.5,0,15.000000953674316,0,0,0,0,0,4.878048419952393,0,2.5,5,10,0,7.317072868347168,0,0,0,2.5,0,0,0,0,0,2.5641026496887207,2.5,0,0,0,0,2.5,0,0,2616420640,12282,6306,48709,41,0,148405.77478027344,125279.55505371094,0,67221319680,8589930496,4973891584,0
24,1733342902794,5500,5500,800,800,5410,4729,5500,2281,4300,4300,4299,800,5500,4300,800,4299,800,4299,4300,800,800,800,4301,800,4300,800,800,1853,800,800,800,800,0,5,15.789472579956055,0,4.761904716491699,0,0,0,0,0,0,4.761904716491699,0,0,0,0,4.761904716491699,0,0,5,0,0,0,5,0,0,0,0,4.761904716491699,0,45,0,0,2616424849,12282,6306,39810,41,0,148411.44696044922,125283.70227050781,0,67221319680,8589930496,4938584064,0
