Delta,Time,CPU_FREQUENCY_0,CPU_FREQUENCY_1,CPU_FREQUENCY_10,CPU_FREQUENCY_11,CPU_FREQUENCY_12,CPU_FREQUENCY_13,CPU_FREQUENCY_14,CPU_FREQUENCY_15,CPU_FREQUENCY_16,CPU_FREQUENCY_17,CPU_FREQUENCY_18,CPU_FREQUENCY_19,CPU_FREQUENCY_2,CPU_FREQUENCY_20,CPU_FREQUENCY_21,CPU_FREQUENCY_22,CPU_FREQUENCY_23,CPU_FREQUENCY_24,CPU_FREQUENCY_25,CPU_FREQUENCY_26,CPU_FREQUENCY_27,CPU_FREQUENCY_28,CPU_FREQUENCY_29,CPU_FREQUENCY_3,CPU_FREQUENCY_30,CPU_FREQUENCY_31,CPU_FREQUENCY_4,CPU_FREQUENCY_5,CPU_FREQUENCY_6,CPU_FREQUENCY_7,CPU_FREQUENCY_8,CPU_FREQUENCY_9,CPU_USAGE_0,CPU_USAGE_1,CPU_USAGE_10,CPU_USAGE_11,CPU_USAGE_12,CPU_USAGE_13,CPU_USAGE_14,CPU_USAGE_15,CPU_USAGE_16,CPU_USAGE_17,CPU_USAGE_18,CPU_USAGE_19,CPU_USAGE_2,CPU_USAGE_20,CPU_USAGE_21,CPU_USAGE_22,CPU_USAGE_23,CPU_USAGE_24,CPU_USAGE_25,CPU_USAGE_26,CPU_USAGE_27,CPU_USAGE_28,CPU_USAGE_29,CPU_USAGE_3,CPU_USAGE_30,CPU_USAGE_31,CPU_USAGE_4,CPU_USAGE_5,CPU_USAGE_6,CPU_USAGE_7,CPU_USAGE_8,CPU_USAGE_9,DRAM_ENERGY (J),GPU0_ENERGY (mJ),GPU0_MEMORY_TOTAL,GPU0_MEMORY_USED,GPU0_POWER (mWatts),GPU0_TEMPERATURE,GPU0_USAGE,PACKAGE_ENERGY (J),PP0_ENERGY (J),PP1_ENERGY (J),TOTAL_MEMORY,TOTAL_SWAP,USED_MEMORY,USED_SWAP
0,1733330058458,5500,800,5500,800,5500,5500,5510,800,800,4301,800,800,800,4301,4298,800,800,4300,800,4300,1889,800,4289,800,4299,800,5489,800,5500,800,5401,5521,8.571429252624512,2.777777910232544,16.666667938232422,2.857142925262451,14.285715103149414,2.777777910232544,2.777777910232544,5.555555820465088,2.857142925262451,13.51351261138916,2.857142925262451,8.108107566833496,8.333333969116211,2.857142925262451,2.857142925262451,2.857142925262451,5.555555820465088,5.555555820465088,0,2.777777910232544,5.405405521392822,2.777777910232544,5.405405521392822,2.777777910232544,5.405405521392822,2.777777910232544,5.555555820465088,0,2.857142925262451,2.777777910232544,14.705883026123047,8.108107566833496,0,2372198204,12282,6288,39369,40,0,222019.5346069336,18190.867126464844,0,67221319680,8589930496,4899594240,0
200,1733330058458,5500,800,5500,800,5500,5500,5510,800,800,4301,800,800,800,4301,4298,800,800,4300,800,4300,1889,800,4289,800,4299,800,5489,800,5500,800,5401,5521,8.571429252624512,2.777777910232544,16.666667938232422,2.857142925262451,14.285715103149414,2.777777910232544,2.777777910232544,5.555555820465088,2.857142925262451,13.51351261138916,2.857142925262451,8.108107566833496,8.333333969116211,2.857142925262451,2.857142925262451,2.857142925262451,5.555555820465088,5.555555820465088,0,2.777777910232544,5.405405521392822,2.777777910232544,5.405405521392822,2.777777910232544,5.405405521392822,2.777777910232544,5.555555820465088,0,2.857142925262451,2.777777910232544,14.705883026123047,8.108107566833496,0,2372198204,12282,6288,39369,40,0,222019.83404541016,18191.046264648438,0,67221319680,8589930496,4919975936,0
200,1733330058658,5500,800,5500,800,5500,5500,5510,800,800,4301,800,800,800,4301,4298,800,800,4300,800,4300,1889,800,4289,800,4299,800,5489,800,5500,800,5401,5521,16.666667938232422,0,45.833335876464844,0,8.333333969116211,0,0,0,8.333333969116211,0,4.1666669845581055,0,13.636363983154297,4,4.1666669845581055,4.1666669845581055,0,0,4.1666669845581055,0,4.34782600402832,4.34782600402832,0,0,0,0,0,0,8.333333969116211,0,0,0,0,2372203181,12282,6290,31948,42,0,222024.64697265625,18194.400329589844,0,67221319680,8589930496,4919017472,0
200,1733330058858,5500,800,5500,800,5500,5500,5510,800,800,4301,800,800,800,4301,4298,800,800,4300,800,4300,1889,800,4289,800,4299,800,5489,800,5500,800,5401,5521,0,0,100,0,5,0,0,0,0,0,0,0,9.090909004211426,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,5,0,9.523809432983398,0,0,2372215341,12282,6290,34112,42,71,222033.08282470703,18201.382263183594,0,67221319680,8589930496,4919975936,0
200,1733330059058,5500,800,5500,800,5500,5500,5510,800,800,4301,800,800,800,4301,4298,800,800,4300,800,4300,1889,800,4289,800,4299,800,5489,800,5500,800,5401,5521,4.761904716491699,0,100,0,5,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,9.523809432983398,0,0,2372228057,12282,6290,42700,43,95,222041.45043945313,18208.30889892578,0,67221319680,8589930496,4899655680,0
200,1733330059258,5500,800,5500,800,5500,5500,5510,800,800,4301,800,800,800,4301,4298,800,800,4300,800,4300,1889,800,4289,800,4299,800,5489,800,5500,800,5401,5521,5,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,5.263157844543457,0,0,2372240684,12282,6290,51233,43,96,222049.87371826172,18215.26727294922,0,67221319680,8589930496,4900401152,0
200,1733330059458,5500,800,5500,800,5500,5500,5510,800,800,4301,800,800,800,4301,4298,800,800,4300,800,4300,1889,800,4289,800,4299,800,5489,800,5500,800,5401,5521,0,0,100,0,5,0,0,0,0,0,0,0,5,0,0,4.761904716491699,0,0,0,0,0,0,0,0,0,0,5,0,0,0,9.523809432983398,0,0,2372253374,12282,6290,59826,43,95,222058.3572998047,18222.30108642578,0,67221319680,8589930496,4900401152,0
200,1733330059658,5500,800,5500,800,5500,5500,5510,800,800,4301,800,800,800,4301,4298,800,800,4300,800,4300,1889,800,4289,800,4299,800,5489,800,5500,800,5401,5521,4.761904716491699,0,100,0,9.523809432983398,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,5.263157844543457,0,0,2372266008,12282,6290,68388,43,96,222066.82592773438,18229.313537597656,0,67221319680,8589930496,4900651008,0
200,1733330059859,5500,800,5500,800,5500,5500,5510,800,800,4301,800,800,800,4301,4298,800,800,4300,800,4300,1889,800,4289,800,4299,800,5489,800,5500,800,5401,5521,0,0,100,0,5,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,2372278772,12282,6290,71955,43,95,222075.17852783203,18236.224365234375,0,67221319680,8589930496,4900651008,0
200,1733330060059,5500,800,5500,800,5500,5500,5510,800,800,4301,800,800,800,4301,4298,800,800,4300,800,4300,1889,800,4289,800,4299,800,5489,800,5500,800,5401,5521,5,0,100,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.761904716491699,0,0,0,9.523809432983398,0,0,2372291408,12282,6290,71977,43,96,222083.66137695313,18243.25311279297,0,67221319680,8589930496,4900651008,0
